Date,Close
10/20/2017,95.55
10/23/2017,95.45
10/24/2017,96.6
10/25/2017,96.15
10/26/2017,97.1
10/27/2017,100.55
10/30/2017,99.5
10/31/2017,100.55
11/1/2017,99.65
11/2/2017,99.95
11/3/2017,101.3
11/6/2017,103.85
11/7/2017,103.8
11/8/2017,113.55
11/9/2017,115.85
11/10/2017,106.25
11/13/2017,108.95
11/14/2017,107.6
11/15/2017,104.7
11/16/2017,104.7
11/17/2017,104.55
11/20/2017,106.55
11/21/2017,107.55
11/22/2017,105.2
11/24/2017,104.9
11/27/2017,103.3
11/28/2017,105.6
11/29/2017,105.15
11/30/2017,105.3
12/1/2017,105.9
12/4/2017,99.85
12/5/2017,99.5
12/6/2017,100.65
12/7/2017,100.4
12/8/2017,98.5
12/11/2017,98.85
12/12/2017,94.9
12/13/2017,96.1
12/14/2017,95.75
12/15/2017,98.7
12/18/2017,93.7
12/19/2017,94.4
12/20/2017,96.85
12/21/2017,96.8
12/22/2017,95.1
12/26/2017,96.35
12/27/2017,96.65
12/28/2017,95.55
12/29/2017,94.1
1/2/2018,90.35
1/3/2018,90.55
1/4/2018,84.6
1/5/2018,85.15
1/8/2018,86.7
1/9/2018,89.7
1/10/2018,88.25
1/11/2018,91.9
1/12/2018,91.15
1/16/2018,87.2
1/17/2018,89.45
1/18/2018,90.1
1/19/2018,91.35
1/22/2018,94.5
1/23/2018,97.25
1/24/2018,98.05
1/25/2018,100.1
1/26/2018,100.65
1/29/2018,101.6
1/30/2018,101.35
1/31/2018,99.6
2/1/2018,98
2/2/2018,96.25
2/5/2018,95.3
2/6/2018,94.15
2/7/2018,94.7
2/8/2018,89.3
2/9/2018,90.3
2/12/2018,91.55
2/13/2018,92.5
2/14/2018,93.6
2/15/2018,98.2
2/16/2018,98.7
2/20/2018,99.35
2/21/2018,98.7
2/22/2018,99.6
2/23/2018,102.15
2/26/2018,104.15
2/27/2018,104.3
2/28/2018,108.2
3/1/2018,108.45
3/2/2018,112.95
3/5/2018,114.25
3/6/2018,115.95
3/7/2018,117.85
3/8/2018,117.8
3/9/2018,118.65
3/12/2018,121.1
3/13/2018,123.2
3/14/2018,122.7
3/15/2018,125.15
3/16/2018,124.35
3/19/2018,121.1
3/20/2018,123.6
3/21/2018,126.1
3/22/2018,122.35
3/23/2018,120.1
3/26/2018,120
3/27/2018,115.75
3/28/2018,114.05
3/29/2018,115.65
4/2/2018,112.2
4/3/2018,113.3
4/4/2018,118.4
4/5/2018,122.1
4/6/2018,120.6
4/9/2018,120.7
4/10/2018,122.35
4/11/2018,122.25
4/12/2018,124.15
4/13/2018,122.1
4/16/2018,123
4/17/2018,124.85
4/18/2018,125.4
4/19/2018,125.2
4/20/2018,124.75
4/23/2018,122.95
4/24/2018,120.6
4/25/2018,120.45
4/26/2018,124.7
4/27/2018,126.45
4/30/2018,124.35
5/1/2018,127.75
5/2/2018,128.5
5/3/2018,133.8
5/4/2018,134.7
5/7/2018,139.1
5/8/2018,135.9
5/9/2018,152.25
5/10/2018,154.3
5/11/2018,153.35
5/14/2018,150.05
5/15/2018,149.85
5/16/2018,153.85
5/17/2018,155.35
5/18/2018,158.25
5/21/2018,157.6
5/22/2018,155.95
5/23/2018,156.35
5/24/2018,156
5/25/2018,157.05
5/29/2018,157.35
5/30/2018,158.85
5/31/2018,160.9
6/1/2018,165.25
6/4/2018,165.1
6/5/2018,164
6/6/2018,165.95
6/7/2018,161
6/8/2018,165.3
6/11/2018,162.7
6/12/2018,162.95
6/13/2018,159.35
6/14/2018,156.9
6/15/2018,155.05
6/18/2018,155.7
6/19/2018,153.35
6/20/2018,154.6
6/21/2018,150.8
6/22/2018,148.2
6/25/2018,145.5
6/26/2018,150.2
6/27/2018,142.7
6/28/2018,140.3
6/29/2018,138.15
7/2/2018,138.55
7/3/2018,142.7
7/5/2018,142.05
7/6/2018,142.45
7/9/2018,141.1
7/10/2018,140.1
7/11/2018,139
7/12/2018,140
7/13/2018,135.35
7/16/2018,136.2
7/17/2018,139.45
7/18/2018,139.6
7/19/2018,138.75
7/20/2018,137.25
7/23/2018,143.05
7/24/2018,138.1
7/25/2018,145.3
7/26/2018,144.25
7/27/2018,141.05
7/30/2018,139.3
7/31/2018,142.25
8/1/2018,144.9
8/2/2018,146.8
8/3/2018,146.05
8/6/2018,148.05
8/7/2018,148.55
8/8/2018,124.65
8/9/2018,124.1
8/10/2018,124.35
8/13/2018,121.55
8/14/2018,122.65
8/15/2018,123.85
8/16/2018,128.3
8/17/2018,125.7
8/20/2018,125
8/21/2018,127
8/22/2018,129.4
8/23/2018,129.35
8/24/2018,129.1
8/27/2018,130.8
8/28/2018,131.5
8/29/2018,134.75
8/30/2018,135.8
8/31/2018,138.85
9/4/2018,140.6
9/5/2018,138.75
9/6/2018,142.45
9/7/2018,142.1
9/10/2018,143
9/11/2018,148.1
9/12/2018,154
9/13/2018,155.05
9/14/2018,156.8
9/17/2018,152.95
9/18/2018,152.15
9/19/2018,150.5
9/20/2018,151.3
9/21/2018,149.35
9/24/2018,151.9
9/25/2018,155.65
9/26/2018,154.25
9/27/2018,149.15
9/28/2018,149.7
10/1/2018,147.65
10/2/2018,142.57
10/3/2018,141.12
10/4/2018,137.51
10/5/2018,135.32
10/8/2018,134.54
10/9/2018,133.54
10/10/2018,131
10/11/2018,133.52
10/12/2018,136.94
10/15/2018,136.15
10/16/2018,142.54
10/17/2018,142.35
10/18/2018,140.84
10/19/2018,136.97
10/22/2018,136.8
10/23/2018,138.25
10/24/2018,138.32
10/25/2018,138.08
10/26/2018,137.95
10/29/2018,137.33
10/30/2018,135.7
10/31/2018,136
11/1/2018,141.16
11/2/2018,137.75
11/5/2018,140.14
11/6/2018,147.71
11/7/2018,156.48
11/8/2018,155.58
11/9/2018,150.2
11/12/2018,137.65
11/13/2018,134.17
11/14/2018,129.93
11/15/2018,134.26
11/16/2018,136.57
11/19/2018,123.35
11/20/2018,122.04
11/21/2018,125.64
11/23/2018,125.42
11/26/2018,129.24
11/27/2018,129.96
11/28/2018,135.33
11/29/2018,137.73
11/30/2018,139.22
12/3/2018,145.19
12/4/2018,139.33
12/6/2018,136.31
12/7/2018,131.72
12/10/2018,132.58
12/11/2018,127.87
12/12/2018,130.34
12/13/2018,126.33
12/14/2018,125.4
12/17/2018,118.68
12/18/2018,120.92
12/19/2018,118.24
12/20/2018,116.72
12/21/2018,116
12/24/2018,113.42
12/26/2018,124.52
12/27/2018,126.66
12/28/2018,124.66
12/31/2018,122.2
1/2/2019,123.07
1/3/2019,115.84
1/4/2019,123.4
1/7/2019,121.02
1/8/2019,123.51
1/9/2019,124.13
1/10/2019,129.64
1/11/2019,126.85
1/14/2019,127.59
1/15/2019,132.26
1/16/2019,137.27
1/17/2019,138.44
1/18/2019,142
1/22/2019,140.73
1/23/2019,139.23
1/24/2019,138.7
1/25/2019,143.76
1/28/2019,137.03
1/29/2019,137.22
1/30/2019,142.93
1/31/2019,145.51
2/1/2019,144.71
2/4/2019,147
2/5/2019,149.03
2/6/2019,150.01
2/7/2019,148.23
2/8/2019,147.49
2/11/2019,150.84
2/12/2019,153.18
2/13/2019,154.33
2/14/2019,153.54
2/15/2019,155.57
2/19/2019,151.23
2/20/2019,149
2/21/2019,146.33
2/22/2019,146.34
2/25/2019,149
2/26/2019,146.75
2/27/2019,132.27
2/28/2019,133.67
3/1/2019,140.52
3/4/2019,141.6
3/5/2019,141.6
3/6/2019,140
3/7/2019,138.69
3/8/2019,139
3/11/2019,141.02
3/12/2019,144.76
3/13/2019,148.71
3/14/2019,150.45
3/15/2019,155.33
3/18/2019,152.21
3/19/2019,154.69
3/20/2019,157.75
3/21/2019,160.31
3/22/2019,157.96
3/25/2019,157.25
3/26/2019,155.11
3/27/2019,149.11
3/28/2019,147.42
3/29/2019,147.01
4/1/2019,143.63
4/2/2019,144.44
4/3/2019,142.69
4/4/2019,140.32
4/5/2019,140.96
4/8/2019,141.74
4/9/2019,140.44
4/10/2019,143.61
4/11/2019,141.16
4/12/2019,140.73
4/15/2019,137.95
4/16/2019,134.39
4/17/2019,126.83
4/18/2019,128.97
4/22/2019,129.91
4/23/2019,130.85
4/24/2019,133.35
4/25/2019,136.76
4/26/2019,137.04
4/29/2019,134.68
4/30/2019,134.5
5/1/2019,127.39
5/2/2019,131.57
5/3/2019,132.09
5/6/2019,131.31
5/7/2019,129.62
5/8/2019,135.25
5/9/2019,132.82
5/10/2019,131.03
5/13/2019,124.65
5/14/2019,133.79
5/15/2019,135.03
5/16/2019,143.41
5/17/2019,142.47
5/20/2019,139.05
5/21/2019,137.6
5/22/2019,137.3
5/23/2019,134.98
5/24/2019,138.53
5/28/2019,137.85
5/29/2019,137.01
5/30/2019,146.3
5/31/2019,142.7
6/3/2019,144.32
6/4/2019,150.52
6/5/2019,152.56
6/6/2019,154.74
6/7/2019,160.81
6/10/2019,165.58
6/11/2019,165.21
6/12/2019,163.09
6/13/2019,163.63
6/14/2019,166.83
6/17/2019,166.95
6/18/2019,167.39
6/19/2019,166.41
6/20/2019,165.22
6/21/2019,164.82
6/24/2019,164.59
6/25/2019,166.97
6/26/2019,161.96
6/27/2019,160.02
6/28/2019,160
7/1/2019,160.47
